sentence_id	dependent_id	dependent	dep_lemma	UPOS	XPOS	head_id	dependency_type	dependency_distance	dd_abs
9	6	，	，	PUNCT	,	11	punct	5	5
9	7	其	其	PRON	PRP	8	nmod	1	1
9	8	居民	居民	NOUN	NN	10	nmod	2	2
9	9	的	的	PART	DEC	8	case	-1	1
9	10	收入	收入	NOUN	NN	11	nsubj	1	1
9	11	愈大	愈大	ADJ	JJ	5	parataxis	-6	6
9	12	，	，	PUNCT	,	19	punct	7	7
9	13	农村	农村	NOUN	NN	15	nmod	2	2
9	14	剩余	剩余	ADJ	JJ	15	amod	1	1
9	15	产物	产物	NOUN	NN	17	nmod	2	2
9	16	的	的	PART	DEC	15	case	-1	1
9	17	市场	市场	NOUN	NN	19	nsubj	2	2
9	18	愈	愈	ADV	RB	19	advmod	1	1
9	19	广阔	广阔	ADJ	JJ	5	parataxis	-14	14
9	20	。	。	PUNCT	.	5	punct	-15	15
EOS
10	1	这	这	DET	DT	2	det	1	1
10	2	种	种	NOUN	NNB	3	clf	1	1
10	3	市场	市场	NOUN	NN	11	nsubj	8	8
10	4	愈	愈	ADV	RB	5	advmod	1	1
10	5	广阔	广阔	ADJ	JJ	11	advcl	6	6
10	6	，	，	PUNCT	,	5	punct	-1	1
10	7	对	对	ADP	IN	9	case	2	2
10	8	广大	广大	ADJ	JJ	9	amod	1	1
10	9	人民	人民	NOUN	NN	11	nmod	2	2
10	10	愈	愈	ADV	RB	11	advmod	1	1
10	11	有利	有利	ADJ	JJ	0	root	-11	11
10	12	。	。	PUNCT	.	11	punct	-1	1
EOS
11	1	在	在	VERB	VV	25	advcl	24	24
11	2	离	离	ADP	IN	3	case	1	1
11	3	都市	都市	NOUN	NN	5	nmod	2	2
11	4	一	一	NUM	CD	5	nummod	1	1
11	5	哩	哩	NOUN	NNB	6	obl	1	1
11	6	生产	生产	VERB	VV	8	acl:relcl	2	2
11	7	的	的	PART	DEC	6	mark:rel	-1	1
11	8	谷物	谷物	NOUN	NN	1	obj	-7	7
11	9	，	，	PUNCT	,	1	punct	-8	8
11	10	与	与	ADP	IN	18	case	8	8
11	11	在	在	VERB	VV	16	xcomp	5	5
11	12	离	离	ADP	IN	13	case	1	1
11	13	都市	都市	NOUN	NN	15	nmod	2	2
11	14	二十	二十	NUM	CD	15	nummod	1	1
11	15	哩	哩	NOUN	NNB	11	obl	-4	4
11	16	生产	生产	VERB	VV	18	acl:relcl	2	2
11	17	的	的	PART	DEC	16	mark:rel	-1	1
11	18	谷物	谷物	NOUN	NN	25	nmod	7	7
11	19	，	，	PUNCT	,	18	punct	-1	1
11	20	在	在	VERB	VV	25	advcl	5	5
11	21	市上	市上	NOUN	NN	20	obj	-1	1
11	22	的	的	PART	DEC	21	case	-1	1
11	23	售价	售价	NOUN	NN	25	nsubj	2	2
11	24	都	都	ADV	RB	25	mark	1	1
11	25	一样	一样	ADJ	JJ	0	root	-25	25
11	26	。	。	PUNCT	.	25	punct	-1	1
EOS
12	1	但	但	ADV	RB	10	mark	9	9
12	2	后者	后者	NOUN	NN	4	nsubj	2	2
12	3	所	所	ADV	RB	4	mark	1	1
12	4	得	得	VERB	VV	6	acl:relcl	2	2
12	5	的	的	PART	DEC	4	mark:rel	-1	1
12	6	售价	售价	NOUN	NN	10	nsubj	4	4
12	7	，	，	PUNCT	,	6	punct	-1	1
12	8	一般	一般	ADJ	JJ	10	advmod	2	2
12	9	地	地	PART	DEV	8	mark:adv	-1	1
12	10	说	说	VERB	VV	27	advcl	17	17
12	11	，	，	PUNCT	,	10	punct	-1	1
12	12	不但	不但	ADP	IN	14	case	2	2
12	13	要	要	AUX	MD	14	aux	1	1
12	14	补偿	补偿	VERB	VV	27	xcomp	13	13
12	15	其	其	PRON	PRP	17	nmod	2	2
12	16	生产	生产	NOUN	NN	17	nmod	1	1
12	17	费用	费用	NOUN	NN	14	obj	-3	3
12	18	和	和	CCONJ	CC	20	cc	2	2
12	19	上市	上市	NOUN	NN	20	nmod	1	1
12	20	费用	费用	NOUN	NN	17	conj	-3	3
12	21	，	，	PUNCT	,	14	punct	-7	7
