sentence_ID	dependent_ID	dependent	dependent_lemma	dependent_UPOS	dependent_XPOS	head_ID	dependency_type
10	10	有利	有利	ADJ	JJ	0	root
EOS
11	1	在	在	VERB	VV	23	advcl
11	2	离	离	ADP	IN	3	case
11	3	都市	都市	NOUN	NN	5	nmod
11	4	一	一	NUM	CD	5	nummod
11	5	哩	哩	NOUN	NNB	6	obl
11	6	生产	生产	VERB	VV	8	acl:relcl
11	7	的	的	PART	DEC	6	mark:rel
11	8	谷物	谷物	NOUN	NN	1	obj
11	9	与	与	ADP	IN	17	case
11	10	在	在	VERB	VV	15	xcomp
11	11	离	离	ADP	IN	12	case
11	12	都市	都市	NOUN	NN	14	nmod
11	13	二十	二十	NUM	CD	14	nummod
11	14	哩	哩	NOUN	NNB	10	obl
11	15	生产	生产	VERB	VV	17	acl:relcl
11	16	的	的	PART	DEC	15	mark:rel
11	17	谷物	谷物	NOUN	NN	23	nmod
11	18	在	在	VERB	VV	23	advcl
11	19	市上	市上	NOUN	NN	18	obj
11	20	的	的	PART	DEC	19	case
11	21	售价	售价	NOUN	NN	23	nsubj
11	22	都	都	ADV	RB	23	mark
11	23	一样	一样	ADJ	JJ	0	root
EOS
12	1	但	但	ADV	RB	9	mark
12	2	后者	后者	NOUN	NN	4	nsubj
12	3	所	所	ADV	RB	4	mark
12	4	得	得	VERB	VV	6	acl:relcl
12	5	的	的	PART	DEC	4	mark:rel
12	6	售价	售价	NOUN	NN	9	nsubj
12	7	一般	一般	ADJ	JJ	9	advmod
12	8	地	地	PART	DEV	7	mark:adv
12	9	说	说	VERB	VV	24	advcl
12	10	不但	不但	ADP	IN	12	case
12	11	要	要	AUX	MD	12	aux
12	12	补偿	补偿	VERB	VV	24	xcomp
12	13	其	其	PRON	PRP	15	nmod
12	14	生产	生产	NOUN	NN	15	nmod
12	15	费用	费用	NOUN	NN	12	obj
12	16	和	和	CCONJ	CC	18	cc
12	17	上市	上市	NOUN	NN	18	nmod
12	18	费用	费用	NOUN	NN	15	conj
12	19	而且	而且	ADV	RB	24	mark
12	20	要	要	AUX	MD	24	aux
12	21	对	对	ADP	IN	23	case
12	22	农业	农业	NOUN	NN	23	compound
12	23	家	家	PART	SFN	24	obl
12	24	提供	提供	VERB	VV	0	root
12	25	农业	农业	NOUN	NN	28	nmod
12	26	的	的	PART	DEC	25	case
12	27	普通	普通	ADJ	JJ	28	amod
12	28	利润	利润	NOUN	NN	24	obj
EOS
13	1	所以	所以	ADV	RB	23	mark
